2024-02-25T19:02:13.087Z - Response Body: {"error":"Internal Server Error","details":{"method":"POST","path":"/api/departments","message":"fn is not a function"}}
2024-02-25T19:02:13.100Z - POST /api/departments - Status: 500 - 47ms - IP: ::1
2024-02-25T19:07:05.700Z - Response Body: {"error":"Internal Server Error","details":{"method":"POST","path":"/api/departments","message":"fn is not a function"}}
2024-02-25T19:07:05.708Z - POST /api/departments - Status: 500 - 43ms - IP: ::1
2024-02-25T19:09:35.888Z - GET /api/divisions - Status: 304 - 163ms - IP: ::1
2024-02-25T19:09:36.269Z - GET /api/divisions - Status: 304 - 87ms - IP: ::1
2024-02-25T19:09:58.969Z - Response Body: {"error":"Internal Server Error","details":{"method":"POST","path":"/api/departments","message":"fn is not a function"}}
2024-02-25T19:09:58.969Z - POST /api/departments - Status: 500 - 7ms - IP: ::1
2024-02-25T19:15:31.266Z - Response Body: {"error":"Internal Server Error","details":{"method":"POST","path":"/api/departments","message":"fn is not a function","file":"C:\\Users\\cedri\\OneDrive\\Desktop\\Projects\\Projects\\TrainingDashboard\\server\\src\\middleware\\errorHandler.js","location":"C:\\Users\\cedri\\OneDrive\\Desktop\\Projects\\Projects\\TrainingDashboard\\server\\src\\middleware/C:\\Users\\cedri\\OneDrive\\Desktop\\Projects\\Projects\\TrainingDashboard\\server\\src\\middleware\\errorHandler.js"}}
2024-02-25T19:15:31.271Z - POST /api/departments - Status: 500 - 41ms - IP: ::1
2024-02-25T19:18:37.445Z - Response Body: {"error":"Internal Server Error","details":{"method":"POST","path":"/api/departments","message":"fn is not a function"}}
2024-02-25T19:18:37.453Z - POST /api/departments - Status: 500 - 49ms - IP: ::1
2024-02-25T19:24:46.324Z - GET /api/divisions - Status: 304 - 129ms - IP: ::1
2024-02-25T19:24:46.420Z - GET /api/divisions - Status: 304 - 86ms - IP: ::1
2024-02-25T19:26:23.913Z - Response Body: {"message":"Missing required department fields"}
2024-02-25T19:26:23.923Z - POST /api/departments - Status: 400 - 66ms - IP: ::1
2024-02-25T19:28:33.050Z - GET /api/divisions - Status: 304 - 124ms - IP: ::1
2024-02-25T19:34:13.434Z - GET /api/divisions - Status: 304 - 108ms - IP: ::1
2024-02-25T19:38:11.416Z - GET /api/divisions - Status: 304 - 126ms - IP: ::1
2024-02-25T19:42:41.467Z - GET /api/divisions - Status: 304 - 115ms - IP: ::1
2024-02-25T19:42:41.570Z - GET /api/divisions - Status: 304 - 96ms - IP: ::1
2024-02-25T19:45:28.472Z - GET /api/divisions - Status: 304 - 90ms - IP: ::1
2024-02-25T19:48:30.973Z - GET /api/divisions - Status: 304 - 88ms - IP: ::1
2024-02-25T19:48:50.828Z - GET /api/divisions - Status: 304 - 111ms - IP: ::1
2024-02-25T19:48:50.952Z - GET /api/divisions - Status: 304 - 115ms - IP: ::1
2024-02-25T19:52:17.026Z - GET /api/divisions - Status: 304 - 105ms - IP: ::1
2024-02-25T19:52:45.753Z - GET /api/divisions - Status: 304 - 90ms - IP: ::1
2024-02-25T19:52:45.861Z - GET /api/divisions - Status: 304 - 88ms - IP: ::1
2024-02-25T19:52:52.522Z - Response Body: {"message":"Missing required department fields"}
2024-02-25T19:52:52.522Z - POST /api/departments - Status: 400 - 17ms - IP: ::1
2024-02-25T19:55:12.545Z - Response Body: {"message":"Missing required department fields"}
2024-02-25T19:55:12.548Z - POST /api/departments - Status: 400 - 48ms - IP: ::1
2024-02-25T19:57:08.244Z - Response Body: {"message":"Missing required department fields"}
